"(Intercept)" "Brain" "BODY"
"1" -8.47912326542428 3.97461593667686 -2.4119921478341
"2" -11.6656537742529 5.04956986388424 -2.94595558188485
"3" -7.47337684519152 3.47725588576577 -1.82619300611259
"4" -8.01505373507462 3.71725867057103 -1.99966432535439
"5" -8.86812234365789 3.75587584556706 -1.67591385463311
"6" -9.27964518705267 3.68354523378366 -1.50328522503423
"7" -11.1824284172035 4.41560758216656 -2.00336639230227
"8" -10.7513731535314 5.15159339821548 -3.1726614033978
"9" -9.79660157766193 3.75873573969147 -1.60417014719769
"10" -11.0648909170704 4.58804278749449 -2.75196901739764
"11" -11.6252843099355 4.37119679521129 -1.91476031410275
"12" -14.4311157946649 5.97032115492038 -3.15867858610727
"13" -11.0381685622051 4.69217452761222 -2.81952297956741
"14" -13.9649138233799 6.00947970306152 -3.43160114144121
"15" -11.5541079969553 4.62893698208791 -2.25426726140722
"16" -7.19779314343032 3.49864386022091 -1.96812845054956
"17" -11.9404901615635 4.55483821173038 -2.00235325373069
"18" -9.1743331154139 4.47314657712286 -2.33107343550364
"19" -9.66270266285574 3.73164414342318 -1.53334593925683
"20" -10.8280076082901 4.22518794344433 -2.14048666242161
"21" -16.6347784403042 5.26331411348656 -1.86342728169984
"22" -9.00420091190608 4.18318632047158 -2.30480967569019
"23" -10.7589978910837 4.32198601795244 -2.13646516371227
"24" -11.3681561129779 4.24260712813702 -1.85387425243243
"25" -9.1031118244864 4.20615162885224 -2.42547613256465
"26" -9.82505720459449 5.06722485646605 -3.3907422908369
"27" -8.96007807231217 3.21462101247744 -1.21220501038624
"28" -13.0110253750754 5.34036231262326 -2.60949234835789
"29" -10.1146454026748 3.5706989957016 -1.30882587481756
"30" -11.9297026048298 5.69754648099661 -3.71393313494627
"31" -8.24593936746533 2.97082660492742 -0.88829383495613
"32" -9.84329077558868 3.67436691267358 -1.65941493066202
"33" -7.69972856494132 2.97506470780354 -1.27356623781088
"34" -10.9184115901298 4.35003806106397 -2.15801855429891
"35" -8.47675538397743 3.57365784423746 -1.53309739422548
"36" -9.65827469179931 4.21612687286688 -2.03882303815044
"37" -10.9114817123154 4.14637098666572 -1.86297903818559
"38" -12.5678643940773 4.88394618780876 -2.32396720239194
"39" -9.70648078771046 3.54298891602957 -1.42405260860687
"40" -9.20375527071701 3.36085075015217 -1.29175912142091
"41" -10.4822161010161 4.65132171672303 -2.50005273661372
"42" -5.61994376595248 3.10844187330804 -1.70431679494504
"43" -9.22817615282838 3.27795080229407 -1.49361639351037
"44" -15.223350062417 5.00908300545416 -1.46074419251818
"45" -11.5449612941593 5.10285829576605 -2.88565610442311
"46" -10.9912875783557 4.3638590486953 -2.00487755803624
"47" -6.95557743366589 2.36840212617972 -0.571954759918299
"48" -11.419671566156 4.61891258461401 -2.36161702499521
"49" -11.8901737157139 5.64402927010815 -3.56159667114844
"50" -10.239852669496 3.47345761334873 -0.891050214791903
"51" -8.87080507645442 3.52624654148531 -1.44805065348919
"52" -9.28358824746101 3.71427906829922 -1.65526589057117
"53" -7.32940546223836 3.57747928680328 -1.96831551060313
"54" -10.5388288756076 3.88249473387259 -1.5593904996349
"55" -9.3098106222169 4.78611672024635 -3.05924789802521
"56" -8.64919941231005 3.44530419687362 -1.45138774477527
"57" -9.37764575504116 3.67888916080847 -1.65137767021952
"58" -9.48425925074116 3.53707153501091 -1.48312726860604
"59" -11.0283320088929 4.39430966373766 -2.13565210918387
"60" -10.9376883973455 4.99755300521065 -2.89467365119708
"61" -11.4884620227676 4.80771589142387 -2.26478073468024
"62" -9.10086313640204 3.59005055887974 -1.52349363212124
"63" -7.48359097887442 3.20329789956304 -1.55562900465156
"64" -9.81333343841834 3.97052003017598 -1.96896669059061
"65" -9.69832963034423 4.10941090955748 -2.03908895299537
"66" -11.178242170412 4.58753179094492 -2.38963272281399
"67" -9.568397895011 3.95757232807955 -1.67478415604273
"68" -8.66523027411313 4.36670783272712 -2.57038443437978
"69" -9.84936299553374 3.95556763201603 -1.81687143840827
"70" -8.54414259727128 3.05297948578664 -1.26502566927229
"71" -11.6936751996818 5.04055979404802 -2.60346870523063
"72" -9.3831201493449 3.73581944932084 -1.64210550001008
"73" -13.6668195768143 5.30812630029686 -2.65495627281598
"74" -11.1289531762886 4.41058102405805 -2.30583416782792
"75" -8.62157063538325 3.12581256622798 -1.35884964017896
"76" -12.5431640561001 3.92447115469258 -1.23918019073608
"77" -9.65493832058564 3.87797875612159 -1.90494832702097
"78" -12.2379896950442 5.21222770630266 -2.78222173846007
